"rules","support","confidence","coverage","lift","count"
"{책장} => {이희민소파}",0.2,1,0.2,2.5,1
"{스탠드} => {의자}",0.2,1,0.2,1.66666666666667,1
"{커피} => {이희민소파}",0.2,1,0.2,2.5,1
"{커피} => {책상}",0.2,1,0.2,1.66666666666667,1
"{침대} => {의자}",0.2,1,0.2,1.66666666666667,1
"{침대} => {책상}",0.2,1,0.2,1.66666666666667,1
"{사이드책상} => {식탁}",0.2,1,0.2,5,1
"{식탁} => {사이드책상}",0.2,1,0.2,5,1
"{사이드책상} => {의자}",0.2,1,0.2,1.66666666666667,1
"{사이드책상} => {책상}",0.2,1,0.2,1.66666666666667,1
"{식탁} => {의자}",0.2,1,0.2,1.66666666666667,1
"{식탁} => {책상}",0.2,1,0.2,1.66666666666667,1
"{이희민소파,커피} => {책상}",0.2,1,0.2,1.66666666666667,1
"{책상,커피} => {이희민소파}",0.2,1,0.2,2.5,1
"{이희민소파,책상} => {커피}",0.2,1,0.2,5,1
"{의자,침대} => {책상}",0.2,1,0.2,1.66666666666667,1
"{책상,침대} => {의자}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,식탁} => {의자}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,의자} => {식탁}",0.2,1,0.2,5,1
"{식탁,의자} => {사이드책상}",0.2,1,0.2,5,1
"{사이드책상,식탁} => {책상}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,책상} => {식탁}",0.2,1,0.2,5,1
"{식탁,책상} => {사이드책상}",0.2,1,0.2,5,1
"{사이드책상,의자} => {책상}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,책상} => {의자}",0.2,1,0.2,1.66666666666667,1
"{식탁,의자} => {책상}",0.2,1,0.2,1.66666666666667,1
"{식탁,책상} => {의자}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,식탁,의자} => {책상}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,식탁,책상} => {의자}",0.2,1,0.2,1.66666666666667,1
"{사이드책상,의자,책상} => {식탁}",0.2,1,0.2,5,1
"{식탁,의자,책상} => {사이드책상}",0.2,1,0.2,5,1
"{의자} => {책상}",0.4,0.666666666666667,0.6,1.11111111111111,2
"{책상} => {의자}",0.4,0.666666666666667,0.6,1.11111111111111,2
"{} => {의자}",0.6,0.6,1,1,3
"{} => {책상}",0.6,0.6,1,1,3
"{이희민소파} => {책장}",0.2,0.5,0.4,2.5,1
"{이희민소파} => {커피}",0.2,0.5,0.4,2.5,1
"{이희민소파} => {책상}",0.2,0.5,0.4,0.833333333333333,1
"{의자,책상} => {침대}",0.2,0.5,0.4,2.5,1
"{의자,책상} => {사이드책상}",0.2,0.5,0.4,2.5,1
"{의자,책상} => {식탁}",0.2,0.5,0.4,2.5,1
"{} => {이희민소파}",0.4,0.4,1,1,2
